,0
532,15.0
533,2.25
534,26.5
535,14.25
536,12.5
537,62.75
538,0.0
539,8.25
540,13.0
541,5.25
542,1.25
543,18.25
544,17.75
545,22.0
546,45.25
547,26.5
548,31.25
549,0.0
550,44.25
551,16.5
552,4.5
553,32.25
554,35.75
555,59.5
556,0.0
557,9.75
558,9.75
559,22.25
560,39.0
561,55.25
562,32.25
563,15.75
564,25.75
565,42.25
566,21.0
567,0.75
568,36.5
569,34.5
570,42.5
571,22.5
572,39.75
573,21.75
574,8.75
575,7.25
576,33.25
577,13.75
578,11.0
579,1.5
580,21.25
581,20.5
582,43.0
583,18.5
584,2.75
585,25.25
586,17.5
587,24.5
588,56.75
589,24.5
590,20.75
591,18.25
592,6.75
593,28.25
594,15.0
595,7.75
596,62.75
597,24.0
598,14.0
599,15.25
600,46.75
601,19.75
602,10.25
603,16.75
604,26.0
605,13.75
606,34.75
607,35.5
608,36.25
609,19.25
610,20.25
611,6.75
612,36.0
613,55.25
614,8.0
615,33.75
616,30.5
617,3.25
618,9.25
619,8.0
620,24.25
621,21.0
622,10.0
623,11.5
624,28.25
625,19.75
626,13.25
627,30.75
628,18.75
629,5.5
630,17.75
631,8.5
632,22.25
633,24.5
634,13.75
635,24.25
636,36.75
637,11.75
638,21.75
639,12.75
640,1.25
641,23.5
642,26.25
643,4.25
644,41.75
645,23.5
646,53.25
647,58.25
648,45.25
649,25.75
650,10.25
651,23.75
652,56.75
653,4.75
654,11.0
655,31.25
656,14.75
657,17.5
658,28.75
659,39.25
660,15.25
661,14.5
662,20.25
663,28.75
664,11.25
665,3.0
666,30.25
667,32.0
668,22.5
669,34.0
670,42.5
671,9.0
672,78.25
673,8.0
674,7.75
675,7.75
676,24.0
677,14.75
678,19.75
679,29.25
680,7.25
681,1.5
682,43.25
683,40.0
684,5.25
685,22.75
686,22.25
687,44.0
688,32.5
689,32.25
690,16.75
691,14.5
692,27.0
693,35.25
694,33.75
695,29.75
696,25.25
697,45.25
698,43.5
699,40.0
700,30.0
701,17.75
702,12.0
703,-0.5
704,17.0
705,36.25
706,22.25
707,35.25
708,1.5
709,49.25
710,24.0
711,33.0
712,4.25
713,34.5
714,11.25
715,21.25
716,13.25
717,17.25
718,55.75
719,32.5
720,13.0
721,9.75
722,39.75
723,43.75
724,0.0
725,49.0
726,6.25
727,23.25
728,35.75
729,16.0
730,22.25
731,4.25
732,13.25
733,20.25
734,3.25
735,21.25
736,15.5
737,0.0
738,15.0
739,25.5
740,3.5
741,43.0
742,17.75
743,24.5
744,13.25
745,24.25
746,15.0
747,18.25
748,13.25
749,7.0
750,12.0
751,3.5
752,23.5
753,4.0
754,3.25
755,20.0
756,22.0
757,19.25
758,15.25
759,15.75
760,27.75
761,6.5
762,26.75
763,33.0
764,41.75
765,18.0
766,5.5
767,19.0
768,46.75
769,12.25
770,26.25
771,0.0
772,21.75
773,11.75
774,14.75
775,21.25
776,24.5
777,18.0
778,37.0
779,22.75
780,24.75
781,27.5
782,8.75
783,15.0
784,43.75
785,20.0
786,6.0
787,35.25
788,12.25
789,62.5
790,14.0
791,9.75
792,0.0
793,41.25
794,3.25
795,0.0
796,8.0
797,35.25
798,23.0
799,61.25
800,54.25
801,41.25
802,25.5
803,1.0
804,18.25
805,23.75
806,21.25
